,name,img,url,logo,category,description,location,ratings,displayNam,phone_numbers,opening_hours_list
0,1 MOBILE STORE,https://www.sunwaypyramid.com/static/shops/2eb370ab814c6a196e9dfbb31a9b9e73/w768-crop.jpg,https://www.sunwaypyramid.com/directory/1-mobile-store,https://www.sunwaypyramid.com/static/shops/a2c88ce981af6c084ee679c24f326e31/w768.png,Digital Lifestyle,"1 Mobile Store (also known as One Specialist Mobile) established since year 2007 with more than 15 years experience in the digital industry.
We are retail business which providing one stop mobile shopping experience in Sunway Pyramid Shopping Mall. Products such as smart phones, smart home electronics, gadgets and accessories, as well as telco and mobile repair & service are all available in store.
Brands that we are carrying are such as Apple, Samsung, Xiaomi, ROG, Black Shark and etc. As long as you name it, we have it! In addition, our professional repair service is available for iOS and Android devices.
We are also having strong believes in our core values, which are be genuine, be at the leading edge of trend, listen to customers, have integrity and be fair. We ensure you will have a great shopping experience with us.",F1.39 & F1.39A (First Floor),"(5⭐) Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. - in the last week | (5⭐) Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! - 3 months ago | (4⭐) As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. - 2 months ago | (5⭐) Sunway Pyramid, located in Bandar Sunway, Malaysia, is a prominent and well-loved shopping mall known for its unique architecture, diverse offerings, and exceptional customer service. One of the standout features of the mall is its impressive Egyptian-inspired design, with a large glass pyramid at the entrance that captures the attention of visitors. It’s a visually appealing and iconic landmark that creates a memorable first impression for anyone approaching the mall.

The mall boasts a wide variety of retail stores, from high-end fashion brands to affordable, trendy boutiques, catering to shoppers of all tastes and budgets. Whether you’re looking for international brands or local gems, Sunway Pyramid has it all. It’s also home to numerous dining options, with restaurants offering diverse cuisines ranging from Malaysian delicacies to Western comfort food, ensuring there’s something for everyone.

In terms of entertainment, Sunway Pyramid goes above and beyond with a range of activities, including an ice skating rink, a bowling alley, and a cinema, making it a perfect spot for family outings or social gatherings. The cleanliness and well-maintained facilities enhance the overall shopping experience, with clear signage, ample seating areas, and a comfortable environment for visitors.

Customers have consistently praised the mall for its friendly and helpful staff, who are always available to assist with any queries. The convenience of ample parking spaces and well-connected public transport options makes Sunway Pyramid accessible to all, further enhancing its appeal. With its wide range of offerings, excellent customer service, and pleasant environment, Sunway Pyramid continues to be a favorite destination for both locals and tourists alike. - a month ago | (5⭐) Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! - 3 months ago",Sunway Pyramid Shopping Mall,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
1,1 Specialist Mobile,https://www.sunwaypyramid.com/static/shops/2736f0145c2a5f426560c77cca95c2a6/w768-crop.jpg,https://www.sunwaypyramid.com/directory/1-specialist-mobile,https://www.sunwaypyramid.com/static/shops/ed227d9dbb43358e5e6c1e820eabf335/w768.png,Digital Lifestyle,Retailing of gadget accessories and related products.,F1.38A (First Floor),No Reviews,Malaysia,N/A,N/A
2,100 Vision,https://www.sunwaypyramid.com/static/shops/66e51d686ce7141827934544844d2c9d/w768-crop.jpg,https://www.sunwaypyramid.com/directory/100-vision,https://www.sunwaypyramid.com/static/shops/315c5bceafe7ac35b15c24dd77ca82ef/w768.png,Eyewear,"Retailing of eyewear, sunglasses and related products.",F1.101 (First Floor),"(1⭐) Very bad. I bought 3 boxes colour lens at rm120 which is promo and it’s can’t fit my eye. I return 2 boxes open and they charged me rm60 which they should purated to rm40 per box. Not worth to buy from this shop. There have a lot better service from optical shop inside Sunway pyramid which u may consider. - 6 months ago | (5⭐) Came in to get new glasses done on Monday, Arisya assisted me with checking my power and helped picked out a a really nice frame. She’s very patient (I took a long time to choose the frames 😅) so friendly and knowledgable about the lenses and frame. Very pleasant experience. Expected to come back the following week but I got my glasses on Saturday! So far there hasn’t been an issue with my new pair. They have an array of stylish and modern frames, flexible temples. Highly recommend coming here. - a year ago | (5⭐) Senior salesperson at this shop was very helpful in helping me to search for a new frame to fit an old lens. He took his time from frame to frame until one fitted in perfectly. Most other shop I went earlier just told me that the lens had to be shaved or the lens only fit for that particular frame I had.

Superb service. 👍🏻 - 2 years ago | (5⭐) Leon was very helpful and friendly. Shop has lots of options. Highly recommended! - a year ago | (1⭐) I just bought a spec with a frame+ super thin bluecoat lenses at 100 Vision Sunway Pyramid. It doesn't worth the price and I felt that I get con! Is a thicker lenses and got dizziness a week! Salesperson was inexperience and didn't understand the needs of customer! Tricking them with incorrect information and poorly explanation! Definitely won't shop at this shop anymore! - 5 years ago",100 Vision @ Sunway Pyramid,+60 3-5622 1210,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
3,108 Matcha Saro,https://www.sunwaypyramid.com/static/shops/d82d7e7024599b48ada94f37566cac04/w768-crop.jpg,https://www.sunwaypyramid.com/directory/108-matcha-saro,https://www.sunwaypyramid.com/static/shops/630941d704a0910e7458d459f6b4c2bd/w768.png,Food & Beverages,"108 Matcha Saro celebrates the rich tradition of Japanese matcha with an exquisite menu that brings the authentic flavors of Uji, Kyoto. Specializing in matcha desserts like soft serve & parfaits, warabi mochi, and our signature Obanyaki, we invite you to indulge in the pure, intense, and vibrant world of matcha.",GF.122C (Ground Floor),"(3⭐) Nee matcha specialty shop at Sunway Pyramid Blue Atrium.

Seating is very spacious and comfortable. Deco is clean and simple with a hint of Japanese design tone.

Prices are around RM17 for an iced matcha latte and RM16 for soft served ice cream. Not cheap but won't break your bank.

Good place for a quick stop without having to queue up or fight for seats. - 3 months ago | (4⭐) Signature 108 Matcha Love Parfait are perfect, rich with matcha taste with chocolate drip. Soft serve are perfect too. Although the biscuit are tasteless. Overall their deserts are good but slightly over price - 3 weeks ago | (3⭐) The design of the cafe and the menu looks very promising but honestly the matcha drinks and desserts here are not as nice as it looks. The matcha latte tastes so bland, the matcha drink with ice cream has too much ice cube in it, the doriyaki tastes so so. It's overprice, in my opinion - 2 months ago | (1⭐) On weekend you can’t find a proper seating with helpless waiter or waitress just staring at you even though there are seats but selfish selfish young customers outlive others by blindly occupying seats with their shopping bags or items , even with a family the parents does the same how despicable! What makes matter worst was the level of service, a family of 4/5 hogging one big table and they just order one drink. Can’t they be moved away ? Where is the dining policy during peak hour then or u der standing, if ur restaurant or cafe is full out a sign out saying it full not making us the paying customer to rush the chairs to seat our elders and what’s even more disgusting was having to face these young kids and parents who are guilty of deaf and table hogging. It was alright dessert wise. Nothing to shout about paying so much premium prices for it all. - a month ago | (1⭐) Overprice for an unknown grade matcha, RM18.90 for a cup of hot matcha latte. Even though they claimed it's directly source from Uji, Kyoto, but which grade? Lowest grade or?

Taste milky and the too much matcha powder at the bottom, the brewer didn't whisk the matcha powder properly. Not recommended. - a month ago",108 Matcha Saro - Sunway Pyramid,N/A,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
4,30DEGREES,https://www.sunwaypyramid.com/static/shops/1f8d1bda37bbe294d5b6a2178933b502/w768-crop.jpg,https://www.sunwaypyramid.com/directory/30degrees,https://www.sunwaypyramid.com/static/shops/fb8685c319d04e66822c7a020703946a/w768.png,Fashion,"Retailing of ladies sports fashion, lingerie and other related accessories only.",LG1.02 (Lower Ground 1 Floor),"(2⭐) The quality of the innerwear from this brand is actually quite good, and for my size (F100) they are one of the few that holds large size and have more than 3 back clip which i love, aside from that, the customer service is average.

My sister and I just recently purchased innerwear from here (22/4/2023) and the employees there are quite alright, I manage to find my size but my sister took some time in finding it, which she later noticed its not the right size for her on that day when we got back home.

I understand its her incompetence when it comes to choosing something you wear everyday and still able to choose wrong. So we went back to the store for an exchange (24/4/2023) and it's a different staff this time. Though I find this employee to be somewhat irritated due to her tone when she's serving. But the biggest problem was that she secretly CUT OFF the price tag after my sister had finally done choosing the right size WITHOUT informing us and for me, that just leaves a sour taste in my mouth.

I believe staff have to at least inform the customers that they will cut off the price tag due to whatever reasons presents. Either its because customers can only exchange product once or any other reason at all, for the staff to cut off the price tag like that is just another stamp approval of me not visiting this store anymore.

I'm not sure about the name of the employee but I believe the Person in charge can find out who that is. (24/4/2023. 12.46pm) - a year ago | (5⭐) Their zero bra is so comfortable and soft yet offers good support and securely fits.   Customer service lady  is quite knowledgeable and helpful. Sometimes need to visit their other branches  for the popular colors and  designs that quickly ran out of size or stock. - a year ago | (5⭐) On behalf of my girlfren, found tat tis brand inner wear is awesome. Customer Service is exceed expectation because they will give suggestion n advise. Keep it up, kudos! - a year ago | (1⭐) Service very BAd - a month ago | (1⭐) Service is so rude - 2 years ago",30 Degrees @ Sunway Pyramid,+60 17-345 6411,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
5,3CE,https://www.sunwaypyramid.com/static/shops/551cecb80942666f8eb310ca067de528/w768-crop.jpg,https://www.sunwaypyramid.com/directory/3ce,https://www.sunwaypyramid.com/static/shops/44468169425d8ba0e7e70cc0f83891c5/w768.png,Beauty,"Introducing 3CE Stylenanda: The Color Expert from Seoul, Korea. Since its inception in 2009, 3CE has been on a transformative journey, pushing the boundaries of beauty with its motto of ""creative makeup."" The brand has become synonymous with Korean beauty trends, leading the way with its precisely curated palette of shades and textures. The 3CE Pink Space boutique isn't just a store; it's a journey—a voyage through the cosmos of beauty.",G1.119B-2 (Ground Floor),"(5⭐) Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. - in the last week | (5⭐) Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! - 3 months ago | (4⭐) As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. - 2 months ago | (5⭐) Sunway Pyramid, located in Bandar Sunway, Malaysia, is a prominent and well-loved shopping mall known for its unique architecture, diverse offerings, and exceptional customer service. One of the standout features of the mall is its impressive Egyptian-inspired design, with a large glass pyramid at the entrance that captures the attention of visitors. It’s a visually appealing and iconic landmark that creates a memorable first impression for anyone approaching the mall.

The mall boasts a wide variety of retail stores, from high-end fashion brands to affordable, trendy boutiques, catering to shoppers of all tastes and budgets. Whether you’re looking for international brands or local gems, Sunway Pyramid has it all. It’s also home to numerous dining options, with restaurants offering diverse cuisines ranging from Malaysian delicacies to Western comfort food, ensuring there’s something for everyone.

In terms of entertainment, Sunway Pyramid goes above and beyond with a range of activities, including an ice skating rink, a bowling alley, and a cinema, making it a perfect spot for family outings or social gatherings. The cleanliness and well-maintained facilities enhance the overall shopping experience, with clear signage, ample seating areas, and a comfortable environment for visitors.

Customers have consistently praised the mall for its friendly and helpful staff, who are always available to assist with any queries. The convenience of ample parking spaces and well-connected public transport options makes Sunway Pyramid accessible to all, further enhancing its appeal. With its wide range of offerings, excellent customer service, and pleasant environment, Sunway Pyramid continues to be a favorite destination for both locals and tourists alike. - a month ago | (5⭐) Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! - 3 months ago",Sunway Pyramid Shopping Mall,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
6,3S Innovation,https://www.sunwaypyramid.com/static/shops/3a743fee2c7b5718e979fed92757076a/w768-crop.jpg,https://www.sunwaypyramid.com/directory/3s-innovation,https://www.sunwaypyramid.com/static/shops/2943e7176ce3a77f5db4403db0c69c61/w768.png,Asian Avenue,Retailing of gadget accessories and related products.,F1.AV.83 (),No Reviews,3S INNOVATION,N/A,N/A
7,4Fingers,https://www.sunwaypyramid.com/static/shops/1ca8e475423aeaddc2520f16236524e4/w768-crop.jpg,https://www.sunwaypyramid.com/directory/4fingers,https://www.sunwaypyramid.com/static/shops/103176a2699befe38f8872155a592eb1/w768.png,Food & Beverages,"Originally from Singapore, 4Fingers is now available at Sunway Pyramid! 4Fingers started out as single store in ION Orchard Singapore in 2009 and people were intrigued by their flavours. This lead to a wild spread rebellion spread across the nation. The founders of this food establishment found the best Asian fried chicken, believe or not, in New York’s city on the subway scene. This is where it all began. Their original chicken recipe is more well-known have a fiery sensation which is as intense as their hot and spicy sauce. From there on, they spread their wings to other regions such as Malaysia, Indonesia and Australia to share what they believed.
How do they make their chicken taste so good? Their chicken is specially cooked to using their own house recipe which resulted in an awesome fried chicken that's packed with loads of flavour. They also use only fresh, locally sourced free-range chicken in kitchens which definitely speaks of quality of their own food. What makes their chicken recipe unique, spicy and crispy, it is cooked with natural herbs and spices, with zero artificial flavourings. In addition to that there is no MSG and instead they use naturally fermented soy sauces that packs a punch, offering their food in the most natural way possible.
Their signature Soy Garlic and Hot & Spicy sauces are made the good old fashioned way, fermented naturally using a traditional Asian method (soy beans, water, 5 months of Malaysian sun) and natural herbs and spices. Not only their chicken is great but they also offer a variety of things such as their delicious burgers and sandwiches, seafood and salad to appeal to many. Now that is available in our mall, this is a great addition for everyone to enjoy a chicken recipe originated from Singapore. Come and try it out!",LG2.127 (Lower Ground 2 Floor),"(2⭐) I recently visited 4fingers and decided to try their deep-fried calamari, priced at RM20+ after tax. Unfortunately, the dish was underwhelming. The squid was not cooked properly—it was still rubbery and slightly wet, which made it unpleasant to eat.

I informed the staff about the issue, but to my disappointment, they didn’t take any meaningful action. Instead, they just took a photo of the dish. I didn’t want to cause a fuss, as I understand they were busy, but I still left feeling let down by both the food and the lack of response.

For the price, I expected better quality and service. I hope the restaurant takes this feedback seriously and makes improvements, both in the kitchen and in their customer service. Until then, I wouldn’t recommend this dish. - a month ago | (5⭐) First time having meal at this outlet.. Not crowded so I enjoyed myself.. I always eat Rice box.. love the taste of mix sauce.. a big portion for me.. Staff name Maisarah approaches me.. Ask for my experience here..Thumbs up for her excellent & friendly service.. Keep it up! - a month ago | (5⭐) I could not remember when last time I dined in here but today it's very peaceful lunch hour. The taste still delicious as I remembered . Already ate salad half of the way 😂 - 2 weeks ago | (1⭐) staff is not friendly with kids, feel like not welcome kids allow. bad service. Need to improve Staff for Providing the best service. - 3 weeks ago | (5⭐) fast service. good environment to chill with friends. the staff were super friendly to us. definitely will come again at this outlet. - a month ago",4Fingers Crispy Chicken Sunway Pyramid,+60 3-5612 6579,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
8,6IXTY8IGHT,https://www.sunwaypyramid.com/static/shops/a1e4433ad34568ba230af5eb499bf64c/w768-crop.jpg,https://www.sunwaypyramid.com/directory/6ixty8ight,https://www.sunwaypyramid.com/static/shops/6036f4b4d21fb416da373561f6cd89e5/w768.png,Fashion,"With its signature pastel pink exterior and interior you definitely won’t miss 6IXTY8IGHT as you’re walking along LG1. If you’re on a shopping spree, you won’t want to skip this super cute store that has so much to offer that it’s established itself as ‘a girl’s favourite shopping destination’. Hailing from its headquarters in Hong Kong, the brand started out as a youthful and energetic lingerie brand founded by Erik Ryd, a Swedish entrepreneur with a well-known lingerie manufacturing business in Asia. A few years later, the brand expanded its range of apparel from its adorable to sexy lingerie line, to include nightwear, active wear, denim, tops, dresses, pants, loungewear and accessories.
As this shopping haven expands to become one of the fastest-growing fashion brands in Asia, it now has more than 200 outlets and counting all over. Lion is proud to say that the brand’s first outlet on Malaysian shores opened right here at Sunway Pyramid in 2019! When they first opened their doors to all fashion-adoring shoppers, Lion was curious to find out what the intriguing name of their store meant. Turns out, the meaning behind 6IXTY8IGHT’s unique name has its roots in Chinese numerology. Since Cantonese is the main dialect spoken in Hong Kong, their pronunciation for the numbers 6 and 8 have phonetic similarities to a phrase resembling “Forever luck!”.
There’s definitely something for everyone here. With their wide range of lingerie that’s either cute and quirky, or sexy and alluring, it’s amazing how comfortable and affordable it is too - who ever said you can’t have the best of both worlds? Even their outerwear is nothing short of stylish chic, great to mix and match for every occasion – whether it’s that perfect date outfit, or for a day out with friends, or even to your office. With 4,500 square feet of retail outlet space, you can shop to your heart’s content for the latest fashion trends so get ready to shop till you drop!",LG1.115B (Lower Ground 1 Floor),"(5⭐) The staff all friendly and nicely also beautifull. Helped me a lot suggested quality bra and panties in my size. Will come again - 5 months ago | (5⭐) Staff always polite and friendly. I'm regular customer of sixty eight and I buy most of my inner garments here because the quality is good and can last a long time, so it's worth the price point. Plus, their prices reduce alot when there is ongoing promotion - a month ago | (2⭐) I'd rate 5 stars if not for the bad attitude of one of the staff there (Tall, wore glasses, long black hair, tan skin). When I asked whether there's more sizes, she answered in a very impatient manner. Then I asked her if she could help me to update my membership account as a staff in Nu Sentral has registered my account under Hong Kong, she then proceeded to act passive agressive and told me to register a new account myself. Even though it's not her fault regarding the issue about my account, but she could have explained to me in a better manner. It's not the first time she has acted very rudely, the first time I bought from this branch, she was the cashier and she was also acting very unfriendly for no reason... - a month ago | (5⭐) Very nice products. Staff is very polite, friendly and helpful. - 6 months ago | (1⭐) Kindly be aware of the scamming here. A staff was helping to do cashier and I'm going to pay with card. Their terminal shown declined but immediately I got notication from bank saying it has successfully gone through. But they keep telling me they do not receive the payment.
The fat malay lady then come and tell me to contact my bank side as I'm the one being frustrated. Dude imagine you paid double and the merchant told you they got nothing and puss everything to bank.
The initial cashier girl then saying previously there's customer who faced this problem as well. I was like if your terminal on and off have problem, don't play with other money.
The fat lady I'm not sure who named puteri or Putra pls man, she legit have to go through training and understand the word customer service. - 9 months ago",6IXTY8IGHT,+60 12-247 6801,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
9,7 Dayz,https://www.sunwaypyramid.com/static/shops/0d1e630ee471983996ebd512c24af72e/w768-crop.jpg,https://www.sunwaypyramid.com/directory/7-dayz,https://www.sunwaypyramid.com/static/shops/e5de905dba76327df5d6153e51f48fc4/w768.png,Fashion,Retailing as fashion apparels and related accessories,LG1.51 (Lower Ground 1 Floor),"(5⭐) Syvr was very helpful and friendly! Boss should give him a Bigggg Angbao!
Love the service very muchhh.
I will definitely come back again to purchase more ! - a month ago | (4⭐) I love their garments in general, particularly the oversized t-shirts and trousers. The material they use is generally cotton with nylon/rayon/polyester knitted mix, slightly thick but which gives the materials a better fall/structure to the body. The garments are generally oversized but stylishly cut. And their prices are quite competitive, ie cheaper than Uniqlo or Muji. - a year ago | (5⭐) Stylish collections with unique colour collection for all. - 5 years ago | (5⭐) The t-shirt sold here is really worth the money and very smooth. Comparing to some big brands, their clothes really amazed me. Recommended.
(Why they have no website...?) - 5 years ago | (5⭐) Wish they had more stores or offered international shipping. Softest cotton t-shirts here by far, and the most affordable. Literally as soft as my John Varvatos t-shirt: price difference $10 CDN for 7dayz vs $150 CDN for Varvatos. - 6 years ago",7Dayz Sunway Pyramid,+60 3-5611 8273,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
