name,img,url,logo,category,description,location
7 Eleven,https://www.sunwaypyramid.com/static/shops/90174b5cdd61b145bb3145b9820021bd/w768-crop.jpg,https://www.sunwaypyramid.com/directory/7-eleven,https://www.sunwaypyramid.com/static/shops/3a643bfb072f810a059e501cc5cee353/w768.png,Convenience Store / Groceries,"As many knows that 7 Eleven Sunway Pyramid is a popular convenience store that people loved. They are the pioneer and the largest 24-hours convenience store operator in Malaysia. With more than 1,000 opened stores across Malaysia, 7-Eleven Malaysia opened its door to local entrepreneurs through its unique franchising program in 2009. They are the first franchisor in the local market to offer existing profit-making stores to franchisees.
Every 7-Eleven store carries over 2,200 products and services which includes their very own proprietary brands such as Slurpee frozen beverages and Big Gulp fountain soft drinks. They also provide an array variety of services available at 7-Eleven which includes bill payment service, sale of mobile phone reload cards, IDD/STD, Touch N Go reload, internet games' starter packs, reloads via MOL Point top-up, ink cartridge refill, photocopying, fax, automated teller machine (ATM), and bulletin board for neighbourhood community notices.
In the year of 2009, 7-Eleven introduced freshly brewed coffee and other hot beverages together with packaged fresh food and bakery for the convenience of customers looking for ready-to-eat hot food. This is due to the fact many customers want something fast and on the go hence this initiative. All food items sold in 7-Eleven are certified HALAL and undergo stringent quality control to ensure tastefulness and freshness.
Being the premier neighbourhood convenience store, community building is in the heart of 7-Eleven’s corporate social responsibility framework. 7-Eleven Community Care is a non-profit entity set up to implement 7-Eleven Malaysia’s corporate social responsibility and philanthropic initiatives. They believe in giving back to the society we operate in, with a commitment to support the underprivileged groups and to sustain environmental conservation effort at the local community level across all regions. With such passion they have, an outlet was opened in Sunway Pyramid to serve the conveniences to many.",OB.K3D (Ground Floor)
A Cut Above Salon,https://www.sunwaypyramid.com/static/shops/5f47060ba0cb5b8938b5fcdfcbcdf427/w768-crop.jpg,https://www.sunwaypyramid.com/directory/a-cut-above-salon,https://www.sunwaypyramid.com/static/shops/afa9811b0f24d562657241b036ace173/w768.png,Haircare / Salon,"A Cut Above is all about a drive to excel and to be the best. From a 428 square feet salon in Wisma MPI in 1979, both husband and wife team –Winnie Loo and Richard Teo had built A Cut Above into one of the best hair salons in Kuala Lumpur. Winnie Loo was trained by hair maestro Vidal Sassoon, developing her skills and professionalism, she had gained all manner of prestigious awards locally and internationally. As the forefront of the hair industry, her works had been showcased in many international magazines. The company had also grown into Malaysia’s more premier group of salons with an established hairdressing academy –A Cut Above Academy. At A Cut Above salon, you can enjoy a range of top quality hair products and exclusive treatments. Furthermore, you will be administered with the finesse trained stylist to provide you a relaxing and rejuvenating session. Carefully crafted over 30 years, the team will give their best to offer in professionalism, skills, products and equipment that set to high standards and even higher ideals! Visit A Cut Above Salon at Ground floor(blue zone) to relax and walk out with assured confidence in your new look!",G1.110 (Ground Floor)
A Decade,https://www.sunwaypyramid.com/static/shops/4c5deccceebab148a61b3a2010d2593b/w768-crop.jpg,https://www.sunwaypyramid.com/directory/a-decade,https://www.sunwaypyramid.com/static/shops/02f777b71d8cb0abec2fe20fa2d06ef8/w768.png,Food & Beverages,Preserving The Taste of Malaysian Cuisines,"LG2.52, LG2.53 (Lower Ground 2 Floor)"
A&CO,https://www.sunwaypyramid.com/static/shops/fe0f8d76b45bc1fa357290ba96dcf6b5/w768-crop.jpg,https://www.sunwaypyramid.com/directory/aandco,https://www.sunwaypyramid.com/static/shops/a93c17779f1d3e7c0f25a92769d004ce/w768.png,Beauty,"A&Co provides customers with everything they are looking for: golden exclusive value, professional and creative hair care, exceptional service, and welcoming environment.
Professional stylists with extensive knowledge and experience along with wide variety of professional hair care products that keep customers looking their best and returning to A&Co.",LG1.101 (Lower Ground 1 Floor)
A&W,https://www.sunwaypyramid.com/static/shops/a2662eda4b9a458eb8a53e0205e0e22e/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/aandw,https://www.sunwaypyramid.com/static/shops/75d4bee2c1f35e83049c2e138bb060de/w768.png,Food & Beverages,"Good Food, Good Times",LG2.42A (Lower Ground 2 Floor)
A-Look Eyewear,https://www.sunwaypyramid.com/static/shops/ccda82c3f8b1b8b62efebb6fcee4f24b/w768-crop.jpg,https://www.sunwaypyramid.com/directory/a-look-eyewear,https://www.sunwaypyramid.com/static/shops/31b30a1457fc51a9c85ba6ab20c048b8/w768.png,Eyewear,,LG2.150 (Lower Ground 2 Floor)
A-Saloon,https://www.sunwaypyramid.com/static/shops/840a2717779b0f5cf1c78236dc6bc4a7/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/a-saloon,https://www.sunwaypyramid.com/static/shops/b2f9021c0adc7388d7a7196c2fb43a2c/w768.png,Haircare / Salon,"With a commitment to providing the best service, our professional stylists offer personalized advice and home care solutions tailored to your individual needs. Trust in our expert stylists, who are trained in the latest techniques and trends, to deliver the ultimate hair treatment, scalp therapy, and hair styling services. We are providing a premium and relaxing atmosphere. We even cater to our Muslim clients with private areas for added convenience.",F1.77 (First Floor)
A-WOW-ME,https://www.sunwaypyramid.com/static/shops/ad9cd4102bbe251f4bac1e5a6af48d3a/w768-crop.jpg,https://www.sunwaypyramid.com/directory/a-wow-me,https://www.sunwaypyramid.com/static/shops/25465d5ddbff8058d0c778606d60bb70/w768.png,Haircare / Salon,"Upon stepping into any A-WoW-ME Hair Saloon, you’ll see that it’s created with the client in mind. Not only it is luxurious and comfortable, but our outlets are also equipped with a private area for our Muslim clients. Every client is given professional advice and personalized home care by our professional stylists, according to the client’s needs.",LG2.79 (Lower Ground 2 Floor)
A.I Store,https://www.sunwaypyramid.com/static/shops/a71fabe01241aad6b42e0bbf95165cf9/w768-crop.jpg,https://www.sunwaypyramid.com/directory/ai-store,https://www.sunwaypyramid.com/static/shops/ece8eb5e034b94e273d95761b0e3b4ab/w768.png,Asian Avenue,,F1.AV.29 (First Floor)
AAPE *BY A BATHING AAPE,https://www.sunwaypyramid.com/static/shops/5b0e39089467d52122d9901a9091005a/w768-crop.jpg,https://www.sunwaypyramid.com/directory/aape-by-a-bathing-aape,https://www.sunwaypyramid.com/static/shops/0a4c83edfe151a4d6f372abf412d3f6f/w768.png,Fashion,"""AAPE is the bold sister brand to A Bathing Ape, the Tokyo-born streetwear label. The 90s fashion house is attracting a new generation of followers with its unexpected inspiration and spirited takes on original designs. AAPE represents an evolution from the very first creative influences and celebrates the iconic Japanese ape-head motif, which has given casualwear impact since 1993. In this collection, expect loose-fitting shapes, plenty of standout camouflage, and artistically branded tees.""","LG1.55, LG1.56 (Lower Ground 1 Floor)"
ABC One Cafeteria,https://www.sunwaypyramid.com/static/shops/c22ce679697ab37b241d695e2f2aaa4a/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/abc-one-cafeteria,https://www.sunwaypyramid.com/static/shops/54000144cbce638282e9cca18965cf02/w768.png,Food & Beverages,"Hidden in a little niche of the Sunway Pyramid parking, lies the elusive ABC One Cafeteria. While most people may not have heard or seen it, those who has gone there at least once will drop by again when they can. Unlike most other eateries in Sunway Pyramid, ABC One Cafeteria prides itself in providing a down-to-earth, affordable meal that is devoid of the usual drapperies of fancy eatings. Customers can look forward to a hearty meal of staple local delicacies such as fried beehoon, fried rice, mee goreng, nasi kandar, fried chicken and fish, cooked Malay dishes, and occasionally a variety of 'kuih-muihs' to wrap up your meal.
Each item are resonable priced and well seasoned to entice the appetite and still be wallet-friendly, with a slight variation in menu on a daily basis to encourage repeat customers to pop by during their lunch or tea breaks. ABC One Cafeteria is also capable of catering to events that has been pre-arranged with their cooks. Customers can provide a list of their requests and have a discussion with the team to know if their desired menu can be prepared for a very reasonable price.
Do drop by the ABC One Cafe one day for a simple meal, that is both satisfying and filling!",B1.001 (Basement 1)
AED,https://www.sunwaypyramid.com/static/shops/64577a8cf2e8e01a8afe568e74d61221/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/aed,https://www.sunwaypyramid.com/static/shops/fbd1e79c13509f4e0cf4f9bbd57dea59/w768.png,Amenities/Facilities,"In case of cardiac emergencies, automated external defibrillator (AED) machines are available around the mall.
Located at:
LG1,Red Atrium in front of Aster Spring
LG2,Central Avenue in front of ITSU
Ground Floor, Concierge Counter
Ground Floor beside Memorie Cafe at The Link.
Ground Floor in front of Crème De La Crème
First Floor, Orange Atrium near Kebab King
CP3, Orange Atrium Car Park Help Desk
CP6, Blue Atrium beside Management Office",Multiple Locations
AGift with Care,https://www.sunwaypyramid.com/static/shops/52115c839d4fdec682dcfe97956fd5b6/w768-crop.jpg,https://www.sunwaypyramid.com/directory/agift-with-care,https://www.sunwaypyramid.com/static/shops/f52f0f7db90c1e34a2992e04e961307a/w768.png,Beauty,"AGift With Care, a fragrance brand that originated in Penang and has expanded to Sunway Pyramid, is dedicated to creating captivating scents while also making a positive impact on society. Since its establishment in 2010, the brand has embraced a mission rooted in the philosophy of selfless generosity. Our commitment goes beyond crafting fragrances; it embodies a heartfelt desire to give back and spread kindness.
Our products of AGift With Care are meticulously designed with a focus on personal indulgence and well-being. Each creation is thoughtfully crafted to uplift spirits and infuse lives with positivity, promoting self-care. Whether used for personal enjoyment or given as thoughtful gifts, their scented offerings carry the essence of compassion and mindfulness, creating a meaningful experience for both the user and the recipient.
AGift With Care aims to forge meaningful connections and inspire individuals on their personal journeys. We understand that life unfolds in various stages, and as such, the brand continually adapts its products to meet the evolving needs and aspirations of its customers. By remaining attuned to the ever-changing lifestyles of their audience, we ensure that our offerings align with their desires and preferences.
While personal growth is significant, AGift With Care believes in the transformative power of emotional connections. Through our scents, we aspire to touch lives, spark joy, and foster a sense of unity within the community. As the brand flourishes, we actively contribute to society by dedicating ourselves to acts of giving, motivated solely by our desire to make a positive difference.
A Gift With Care extends an invitation to individuals to embark on a fragrant voyage where purpose meets passion. Together, we aspire to inspire, uplift, and create a ripple effect of kindness that resonates far and wide. By joining forces, we aim to spread their message of selfless generosity, leaving a lasting impact on individuals and communities alike.
#BeautyTreats",LG1.96A (Lower Ground 1 Floor)
